"C02584V03137","Vehicle Category","C01841V02268","Type of Fuel","TLIST(M1)","Month","STATISTIC","Statistic Label","UNIT","VALUE"
"-","All vehicle types","5","Ethanol and petrol","200705","2007M05","TDM01C1","All Vehicle Registrations","Number","79"
"-","All vehicle types","5","Ethanol and petrol","200705","2007M05","TDM01C2","New Vehicle Registrations","Number","79"
"-","All vehicle types","5","Ethanol and petrol","200705","2007M05","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200706","2007M06","TDM01C1","All Vehicle Registrations","Number","105"
"-","All vehicle types","5","Ethanol and petrol","200706","2007M06","TDM01C2","New Vehicle Registrations","Number","105"
"-","All vehicle types","5","Ethanol and petrol","200706","2007M06","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200707","2007M07","TDM01C1","All Vehicle Registrations","Number","79"
"-","All vehicle types","5","Ethanol and petrol","200707","2007M07","TDM01C2","New Vehicle Registrations","Number","77"
"-","All vehicle types","5","Ethanol and petrol","200707","2007M07","TDM01C3","Second Hand Vehicle Registrations","Number","2"
"-","All vehicle types","5","Ethanol and petrol","200708","2007M08","TDM01C1","All Vehicle Registrations","Number","39"
"-","All vehicle types","5","Ethanol and petrol","200708","2007M08","TDM01C2","New Vehicle Registrations","Number","39"
"-","All vehicle types","5","Ethanol and petrol","200708","2007M08","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200709","2007M09","TDM01C1","All Vehicle Registrations","Number","60"
"-","All vehicle types","5","Ethanol and petrol","200709","2007M09","TDM01C2","New Vehicle Registrations","Number","60"
"-","All vehicle types","5","Ethanol and petrol","200709","2007M09","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200710","2007M10","TDM01C1","All Vehicle Registrations","Number","51"
"-","All vehicle types","5","Ethanol and petrol","200710","2007M10","TDM01C2","New Vehicle Registrations","Number","51"
"-","All vehicle types","5","Ethanol and petrol","200710","2007M10","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200711","2007M11","TDM01C1","All Vehicle Registrations","Number","31"
"-","All vehicle types","5","Ethanol and petrol","200711","2007M11","TDM01C2","New Vehicle Registrations","Number","31"
"-","All vehicle types","5","Ethanol and petrol","200711","2007M11","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200712","2007M12","TDM01C1","All Vehicle Registrations","Number","4"
"-","All vehicle types","5","Ethanol and petrol","200712","2007M12","TDM01C2","New Vehicle Registrations","Number","4"
"-","All vehicle types","5","Ethanol and petrol","200712","2007M12","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200801","2008M01","TDM01C1","All Vehicle Registrations","Number","729"
"-","All vehicle types","5","Ethanol and petrol","200801","2008M01","TDM01C2","New Vehicle Registrations","Number","727"
"-","All vehicle types","5","Ethanol and petrol","200801","2008M01","TDM01C3","Second Hand Vehicle Registrations","Number","2"
"-","All vehicle types","5","Ethanol and petrol","200802","2008M02","TDM01C1","All Vehicle Registrations","Number","393"
"-","All vehicle types","5","Ethanol and petrol","200802","2008M02","TDM01C2","New Vehicle Registrations","Number","393"
"-","All vehicle types","5","Ethanol and petrol","200802","2008M02","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200803","2008M03","TDM01C1","All Vehicle Registrations","Number","424"
"-","All vehicle types","5","Ethanol and petrol","200803","2008M03","TDM01C2","New Vehicle Registrations","Number","422"
"-","All vehicle types","5","Ethanol and petrol","200803","2008M03","TDM01C3","Second Hand Vehicle Registrations","Number","2"
"-","All vehicle types","5","Ethanol and petrol","200804","2008M04","TDM01C1","All Vehicle Registrations","Number","343"
"-","All vehicle types","5","Ethanol and petrol","200804","2008M04","TDM01C2","New Vehicle Registrations","Number","341"
"-","All vehicle types","5","Ethanol and petrol","200804","2008M04","TDM01C3","Second Hand Vehicle Registrations","Number","2"
"-","All vehicle types","5","Ethanol and petrol","200805","2008M05","TDM01C1","All Vehicle Registrations","Number","328"
"-","All vehicle types","5","Ethanol and petrol","200805","2008M05","TDM01C2","New Vehicle Registrations","Number","327"
"-","All vehicle types","5","Ethanol and petrol","200805","2008M05","TDM01C3","Second Hand Vehicle Registrations","Number","1"
"-","All vehicle types","5","Ethanol and petrol","200806","2008M06","TDM01C1","All Vehicle Registrations","Number","443"
"-","All vehicle types","5","Ethanol and petrol","200806","2008M06","TDM01C2","New Vehicle Registrations","Number","439"
"-","All vehicle types","5","Ethanol and petrol","200806","2008M06","TDM01C3","Second Hand Vehicle Registrations","Number","4"
"-","All vehicle types","5","Ethanol and petrol","200807","2008M07","TDM01C1","All Vehicle Registrations","Number","79"
"-","All vehicle types","5","Ethanol and petrol","200807","2008M07","TDM01C2","New Vehicle Registrations","Number","77"
"-","All vehicle types","5","Ethanol and petrol","200807","2008M07","TDM01C3","Second Hand Vehicle Registrations","Number","2"
"-","All vehicle types","5","Ethanol and petrol","200808","2008M08","TDM01C1","All Vehicle Registrations","Number","21"
"-","All vehicle types","5","Ethanol and petrol","200808","2008M08","TDM01C2","New Vehicle Registrations","Number","20"
"-","All vehicle types","5","Ethanol and petrol","200808","2008M08","TDM01C3","Second Hand Vehicle Registrations","Number","1"
"-","All vehicle types","5","Ethanol and petrol","200809","2008M09","TDM01C1","All Vehicle Registrations","Number","18"
"-","All vehicle types","5","Ethanol and petrol","200809","2008M09","TDM01C2","New Vehicle Registrations","Number","17"
"-","All vehicle types","5","Ethanol and petrol","200809","2008M09","TDM01C3","Second Hand Vehicle Registrations","Number","1"
"-","All vehicle types","5","Ethanol and petrol","200810","2008M10","TDM01C1","All Vehicle Registrations","Number","11"
"-","All vehicle types","5","Ethanol and petrol","200810","2008M10","TDM01C2","New Vehicle Registrations","Number","11"
"-","All vehicle types","5","Ethanol and petrol","200810","2008M10","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200811","2008M11","TDM01C1","All Vehicle Registrations","Number","4"
"-","All vehicle types","5","Ethanol and petrol","200811","2008M11","TDM01C2","New Vehicle Registrations","Number","3"
"-","All vehicle types","5","Ethanol and petrol","200811","2008M11","TDM01C3","Second Hand Vehicle Registrations","Number","1"
"-","All vehicle types","5","Ethanol and petrol","200812","2008M12","TDM01C1","All Vehicle Registrations","Number","1"
"-","All vehicle types","5","Ethanol and petrol","200812","2008M12","TDM01C2","New Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200812","2008M12","TDM01C3","Second Hand Vehicle Registrations","Number","1"
"-","All vehicle types","5","Ethanol and petrol","200901","2009M01","TDM01C1","All Vehicle Registrations","Number","132"
"-","All vehicle types","5","Ethanol and petrol","200901","2009M01","TDM01C2","New Vehicle Registrations","Number","132"
"-","All vehicle types","5","Ethanol and petrol","200901","2009M01","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200902","2009M02","TDM01C1","All Vehicle Registrations","Number","132"
"-","All vehicle types","5","Ethanol and petrol","200902","2009M02","TDM01C2","New Vehicle Registrations","Number","132"
"-","All vehicle types","5","Ethanol and petrol","200902","2009M02","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200903","2009M03","TDM01C1","All Vehicle Registrations","Number","56"
"-","All vehicle types","5","Ethanol and petrol","200903","2009M03","TDM01C2","New Vehicle Registrations","Number","56"
"-","All vehicle types","5","Ethanol and petrol","200903","2009M03","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200904","2009M04","TDM01C1","All Vehicle Registrations","Number","133"
"-","All vehicle types","5","Ethanol and petrol","200904","2009M04","TDM01C2","New Vehicle Registrations","Number","133"
"-","All vehicle types","5","Ethanol and petrol","200904","2009M04","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200905","2009M05","TDM01C1","All Vehicle Registrations","Number","113"
"-","All vehicle types","5","Ethanol and petrol","200905","2009M05","TDM01C2","New Vehicle Registrations","Number","113"
"-","All vehicle types","5","Ethanol and petrol","200905","2009M05","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200906","2009M06","TDM01C1","All Vehicle Registrations","Number","28"
"-","All vehicle types","5","Ethanol and petrol","200906","2009M06","TDM01C2","New Vehicle Registrations","Number","28"
"-","All vehicle types","5","Ethanol and petrol","200906","2009M06","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200907","2009M07","TDM01C1","All Vehicle Registrations","Number","19"
"-","All vehicle types","5","Ethanol and petrol","200907","2009M07","TDM01C2","New Vehicle Registrations","Number","19"
"-","All vehicle types","5","Ethanol and petrol","200907","2009M07","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200908","2009M08","TDM01C1","All Vehicle Registrations","Number","13"
"-","All vehicle types","5","Ethanol and petrol","200908","2009M08","TDM01C2","New Vehicle Registrations","Number","13"
"-","All vehicle types","5","Ethanol and petrol","200908","2009M08","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200909","2009M09","TDM01C1","All Vehicle Registrations","Number","9"
"-","All vehicle types","5","Ethanol and petrol","200909","2009M09","TDM01C2","New Vehicle Registrations","Number","9"
"-","All vehicle types","5","Ethanol and petrol","200909","2009M09","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200910","2009M10","TDM01C1","All Vehicle Registrations","Number","35"
"-","All vehicle types","5","Ethanol and petrol","200910","2009M10","TDM01C2","New Vehicle Registrations","Number","34"
"-","All vehicle types","5","Ethanol and petrol","200910","2009M10","TDM01C3","Second Hand Vehicle Registrations","Number","1"
"-","All vehicle types","5","Ethanol and petrol","200911","2009M11","TDM01C1","All Vehicle Registrations","Number","12"
"-","All vehicle types","5","Ethanol and petrol","200911","2009M11","TDM01C2","New Vehicle Registrations","Number","12"
"-","All vehicle types","5","Ethanol and petrol","200911","2009M11","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","200912","2009M12","TDM01C1","All Vehicle Registrations","Number","30"
"-","All vehicle types","5","Ethanol and petrol","200912","2009M12","TDM01C2","New Vehicle Registrations","Number","30"
"-","All vehicle types","5","Ethanol and petrol","200912","2009M12","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","201001","2010M01","TDM01C1","All Vehicle Registrations","Number","523"
"-","All vehicle types","5","Ethanol and petrol","201001","2010M01","TDM01C2","New Vehicle Registrations","Number","523"
"-","All vehicle types","5","Ethanol and petrol","201001","2010M01","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","201002","2010M02","TDM01C1","All Vehicle Registrations","Number","485"
"-","All vehicle types","5","Ethanol and petrol","201002","2010M02","TDM01C2","New Vehicle Registrations","Number","484"
"-","All vehicle types","5","Ethanol and petrol","201002","2010M02","TDM01C3","Second Hand Vehicle Registrations","Number","1"
"-","All vehicle types","5","Ethanol and petrol","201003","2010M03","TDM01C1","All Vehicle Registrations","Number","381"
"-","All vehicle types","5","Ethanol and petrol","201003","2010M03","TDM01C2","New Vehicle Registrations","Number","381"
"-","All vehicle types","5","Ethanol and petrol","201003","2010M03","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","201004","2010M04","TDM01C1","All Vehicle Registrations","Number","300"
"-","All vehicle types","5","Ethanol and petrol","201004","2010M04","TDM01C2","New Vehicle Registrations","Number","300"
"-","All vehicle types","5","Ethanol and petrol","201004","2010M04","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","201005","2010M05","TDM01C1","All Vehicle Registrations","Number","230"
"-","All vehicle types","5","Ethanol and petrol","201005","2010M05","TDM01C2","New Vehicle Registrations","Number","230"
"-","All vehicle types","5","Ethanol and petrol","201005","2010M05","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"-","All vehicle types","5","Ethanol and petrol","201006","2010M06","TDM01C1","All Vehicle Registrations","Number","238"
"-","All vehicle types","5","Ethanol and petrol","201006","2010M06","TDM01C2","New Vehicle Registrations","Number","238"
"-","All vehicle types","5","Ethanol and petrol","201006","2010M06","TDM01C3","Second Hand Vehicle Registrations","Number","0"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200601","2006M01","TDM01C1","All Vehicle Registrations","Number","47265"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200601","2006M01","TDM01C2","New Vehicle Registrations","Number","42744"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200601","2006M01","TDM01C3","Second Hand Vehicle Registrations","Number","4521"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200602","2006M02","TDM01C1","All Vehicle Registrations","Number","30363"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200602","2006M02","TDM01C2","New Vehicle Registrations","Number","25420"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200602","2006M02","TDM01C3","Second Hand Vehicle Registrations","Number","4943"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200603","2006M03","TDM01C1","All Vehicle Registrations","Number","31118"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200603","2006M03","TDM01C2","New Vehicle Registrations","Number","25956"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200603","2006M03","TDM01C3","Second Hand Vehicle Registrations","Number","5162"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200604","2006M04","TDM01C1","All Vehicle Registrations","Number","21891"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200604","2006M04","TDM01C2","New Vehicle Registrations","Number","17332"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200604","2006M04","TDM01C3","Second Hand Vehicle Registrations","Number","4559"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200605","2006M05","TDM01C1","All Vehicle Registrations","Number","22754"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200605","2006M05","TDM01C2","New Vehicle Registrations","Number","17592"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200605","2006M05","TDM01C3","Second Hand Vehicle Registrations","Number","5162"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200606","2006M06","TDM01C1","All Vehicle Registrations","Number","20432"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200606","2006M06","TDM01C2","New Vehicle Registrations","Number","15441"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200606","2006M06","TDM01C3","Second Hand Vehicle Registrations","Number","4991"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200607","2006M07","TDM01C1","All Vehicle Registrations","Number","16802"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200607","2006M07","TDM01C2","New Vehicle Registrations","Number","12119"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200607","2006M07","TDM01C3","Second Hand Vehicle Registrations","Number","4683"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200608","2006M08","TDM01C1","All Vehicle Registrations","Number","14088"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200608","2006M08","TDM01C2","New Vehicle Registrations","Number","9024"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200608","2006M08","TDM01C3","Second Hand Vehicle Registrations","Number","5064"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200609","2006M09","TDM01C1","All Vehicle Registrations","Number","10784"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200609","2006M09","TDM01C2","New Vehicle Registrations","Number","6072"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200609","2006M09","TDM01C3","Second Hand Vehicle Registrations","Number","4712"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200610","2006M10","TDM01C1","All Vehicle Registrations","Number","8795"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200610","2006M10","TDM01C2","New Vehicle Registrations","Number","3947"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200610","2006M10","TDM01C3","Second Hand Vehicle Registrations","Number","4848"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200611","2006M11","TDM01C1","All Vehicle Registrations","Number","6509"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200611","2006M11","TDM01C2","New Vehicle Registrations","Number","1662"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200611","2006M11","TDM01C3","Second Hand Vehicle Registrations","Number","4847"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200612","2006M12","TDM01C1","All Vehicle Registrations","Number","3794"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200612","2006M12","TDM01C2","New Vehicle Registrations","Number","959"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200612","2006M12","TDM01C3","Second Hand Vehicle Registrations","Number","2835"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200701","2007M01","TDM01C1","All Vehicle Registrations","Number","51362"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200701","2007M01","TDM01C2","New Vehicle Registrations","Number","45864"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200701","2007M01","TDM01C3","Second Hand Vehicle Registrations","Number","5498"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200702","2007M02","TDM01C1","All Vehicle Registrations","Number","31609"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200702","2007M02","TDM01C2","New Vehicle Registrations","Number","26573"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200702","2007M02","TDM01C3","Second Hand Vehicle Registrations","Number","5036"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200703","2007M03","TDM01C1","All Vehicle Registrations","Number","33317"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200703","2007M03","TDM01C2","New Vehicle Registrations","Number","28047"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200703","2007M03","TDM01C3","Second Hand Vehicle Registrations","Number","5270"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200704","2007M04","TDM01C1","All Vehicle Registrations","Number","22057"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200704","2007M04","TDM01C2","New Vehicle Registrations","Number","16906"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200704","2007M04","TDM01C3","Second Hand Vehicle Registrations","Number","5151"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200705","2007M05","TDM01C1","All Vehicle Registrations","Number","24328"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200705","2007M05","TDM01C2","New Vehicle Registrations","Number","18689"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200705","2007M05","TDM01C3","Second Hand Vehicle Registrations","Number","5639"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200706","2007M06","TDM01C1","All Vehicle Registrations","Number","20490"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200706","2007M06","TDM01C2","New Vehicle Registrations","Number","15318"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200706","2007M06","TDM01C3","Second Hand Vehicle Registrations","Number","5172"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200707","2007M07","TDM01C1","All Vehicle Registrations","Number","18274"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200707","2007M07","TDM01C2","New Vehicle Registrations","Number","13133"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200707","2007M07","TDM01C3","Second Hand Vehicle Registrations","Number","5141"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200708","2007M08","TDM01C1","All Vehicle Registrations","Number","13178"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200708","2007M08","TDM01C2","New Vehicle Registrations","Number","8181"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200708","2007M08","TDM01C3","Second Hand Vehicle Registrations","Number","4997"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200709","2007M09","TDM01C1","All Vehicle Registrations","Number","10538"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200709","2007M09","TDM01C2","New Vehicle Registrations","Number","5748"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200709","2007M09","TDM01C3","Second Hand Vehicle Registrations","Number","4790"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200710","2007M10","TDM01C1","All Vehicle Registrations","Number","8933"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200710","2007M10","TDM01C2","New Vehicle Registrations","Number","3830"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200710","2007M10","TDM01C3","Second Hand Vehicle Registrations","Number","5103"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200711","2007M11","TDM01C1","All Vehicle Registrations","Number","6125"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200711","2007M11","TDM01C2","New Vehicle Registrations","Number","1460"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200711","2007M11","TDM01C3","Second Hand Vehicle Registrations","Number","4665"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200712","2007M12","TDM01C1","All Vehicle Registrations","Number","3193"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200712","2007M12","TDM01C2","New Vehicle Registrations","Number","518"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200712","2007M12","TDM01C3","Second Hand Vehicle Registrations","Number","2675"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200801","2008M01","TDM01C1","All Vehicle Registrations","Number","52625"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200801","2008M01","TDM01C2","New Vehicle Registrations","Number","47308"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200801","2008M01","TDM01C3","Second Hand Vehicle Registrations","Number","5317"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200802","2008M02","TDM01C1","All Vehicle Registrations","Number","29623"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200802","2008M02","TDM01C2","New Vehicle Registrations","Number","24049"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200802","2008M02","TDM01C3","Second Hand Vehicle Registrations","Number","5574"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200803","2008M03","TDM01C1","All Vehicle Registrations","Number","26457"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200803","2008M03","TDM01C2","New Vehicle Registrations","Number","21566"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200803","2008M03","TDM01C3","Second Hand Vehicle Registrations","Number","4891"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200804","2008M04","TDM01C1","All Vehicle Registrations","Number","18839"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200804","2008M04","TDM01C2","New Vehicle Registrations","Number","13305"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200804","2008M04","TDM01C3","Second Hand Vehicle Registrations","Number","5534"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200805","2008M05","TDM01C1","All Vehicle Registrations","Number","15502"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200805","2008M05","TDM01C2","New Vehicle Registrations","Number","10184"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200805","2008M05","TDM01C3","Second Hand Vehicle Registrations","Number","5318"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200806","2008M06","TDM01C1","All Vehicle Registrations","Number","15194"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200806","2008M06","TDM01C2","New Vehicle Registrations","Number","7940"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200806","2008M06","TDM01C3","Second Hand Vehicle Registrations","Number","7254"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200807","2008M07","TDM01C1","All Vehicle Registrations","Number","23392"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200807","2008M07","TDM01C2","New Vehicle Registrations","Number","16336"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200807","2008M07","TDM01C3","Second Hand Vehicle Registrations","Number","7056"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200808","2008M08","TDM01C1","All Vehicle Registrations","Number","9826"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200808","2008M08","TDM01C2","New Vehicle Registrations","Number","5230"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200808","2008M08","TDM01C3","Second Hand Vehicle Registrations","Number","4596"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200809","2008M09","TDM01C1","All Vehicle Registrations","Number","8432"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200809","2008M09","TDM01C2","New Vehicle Registrations","Number","3455"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200809","2008M09","TDM01C3","Second Hand Vehicle Registrations","Number","4977"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200810","2008M10","TDM01C1","All Vehicle Registrations","Number","6476"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200810","2008M10","TDM01C2","New Vehicle Registrations","Number","1752"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200810","2008M10","TDM01C3","Second Hand Vehicle Registrations","Number","4724"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200811","2008M11","TDM01C1","All Vehicle Registrations","Number","4408"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200811","2008M11","TDM01C2","New Vehicle Registrations","Number","635"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200811","2008M11","TDM01C3","Second Hand Vehicle Registrations","Number","3773"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200812","2008M12","TDM01C1","All Vehicle Registrations","Number","2832"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200812","2008M12","TDM01C2","New Vehicle Registrations","Number","194"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200812","2008M12","TDM01C3","Second Hand Vehicle Registrations","Number","2638"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200901","2009M01","TDM01C1","All Vehicle Registrations","Number","21593"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200901","2009M01","TDM01C2","New Vehicle Registrations","Number","15809"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200901","2009M01","TDM01C3","Second Hand Vehicle Registrations","Number","5784"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200902","2009M02","TDM01C1","All Vehicle Registrations","Number","14451"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200902","2009M02","TDM01C2","New Vehicle Registrations","Number","8860"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200902","2009M02","TDM01C3","Second Hand Vehicle Registrations","Number","5591"
"A","Category A (cars and minibuses (< 12 permanent))","-","All fuel types","200903","2009M03","TDM01C1","All Vehicle Registrations","Number","13539"
